13	186	4	890704999
13	498	4	882139901
13	892	3	882774224
13	229	4	882397650
181	306	1	878962006
181	741	1	878962918
301	33	4	882078228
181	1015	1	878963121
222	781	3	881059677
13	864	4	882141924
269	507	4	891448800
222	812	2	881059117
269	234	1	891449406
13	901	1	883670672
276	70	4	874790826
276	417	4	874792907
222	26	3	878183043
13	809	4	882397582
269	705	2	891448850
181	762	2	878963418
276	188	4	874792547
222	173	5	878183043
222	49	3	878183512
181	121	4	878962623
268	217	2	875744501
92	515	4	875640800
234	10	3	891227851
308	187	5	887738760
276	64	5	874787441
181	870	2	878962623
276	181	5	874786488
13	823	5	882397833
222	796	4	878183684
181	1060	1	878962675
13	780	1	882142057
268	21	3	875742822
234	81	3	892334680
90	506	5	891383319
90	258	3	891382121
181	1288	1	878962349
234	487	3	892079237
181	927	1	878962675
90	22	4	891384357
181	696	2	878962997
286	357	4	877531537
92	121	5	875640679
181	405	4	878962919
244	183	4	880606043
299	387	2	889502756
94	572	3	891723883
286	746	4	877533058
62	665	2	879376483
194	23	4	879522819
268	955	3	875745160
276	294	4	874786366
7	378	5	891353011
194	152	3	879549996
7	200	5	891353543
303	161	5	879468547
90	923	5	891383912
279	122	1	875297433
286	298	4	875807004
222	448	3	878183565
42	625	3	881108873
244	310	3	880601905
286	175	5	877532470
279	1428	3	888465209
201	203	5	884114471
181	930	1	878963275
222	379	1	878184290
268	583	4	876513830
92	831	2	886443708
7	543	3	891351772
234	632	2	892079538
222	53	5	878184113
7	554	3	891354639
7	472	2	891353357
279	741	5	875296891
308	1286	3	887738151
279	982	3	875298314
303	68	4	879467361
94	216	3	885870665
303	397	1	879543831
13	418	2	882398763
201	518	4	884112201
13	858	1	882397068
222	87	3	878182589
279	725	4	875314144
13	72	4	882141727
194	77	3	879527421
62	182	5	879375169
90	12	5	891383241
269	252	1	891456350
286	73	5	877532965
7	623	3	891354217
94	860	2	891723706
301	523	4	882076146
244	172	4	880605665
244	790	4	880608037
234	241	2	892335042
201	432	3	884111312
13	181	5	882140354
276	324	4	874786419
72	234	4	880037418
181	619	3	878963086
62	86	2	879374640
207	58	3	875991047
194	187	4	879520813
181	334	1	878961749
308	59	4	887737647
7	644	5	891351685
276	419	5	874792907
62	302	3	879371909
268	298	3	875742647
207	554	2	877822854
286	44	3	877532173
279	168	5	875296435
276	474	5	889174904
62	59	4	879373821
90	945	5	891383866
42	98	4	881106711
303	393	4	879484981
94	792	4	885873006
293	708	3	888907527
201	148	1	884140751
7	662	3	892133739
72	196	4	880036747
7	171	3	891351287
286	85	5	877533224
308	516	4	887736743
308	436	4	887739257
59	235	1	888203658
207	65	3	878104594
181	14	1	878962392
276	78	4	877934828
299	847	4	877877649
293	325	2	888904353
301	138	2	882079446
1	47	4	875072125
7	451	5	891353892
194	212	1	879524216
130	569	3	880396494
181	1332	1	878962278
222	22	5	878183285
13	147	3	882397502
303	418	4	879483510
268	386	2	875743978
234	147	3	892335372
94	155	2	891723807
178	199	4	882826306
308	174	4	887736696
234	98	4	892078567
194	239	3	879522917
94	24	4	885873423
83	43	4	880308690
130	307	4	877984546
59	177	4	888204349
244	53	3	880607489
42	953	2	881108815
222	106	2	883816184
303	1098	4	879467959
94	174	4	885870231
130	949	3	876251944
303	779	1	879543418
194	191	4	879521856
56	447	4	892679067
181	1334	1	878962240
92	747	4	875656164
244	154	5	880606385
254	230	4	886472400
16	209	5	877722736
181	1327	1	878963305
305	483	5	886323068
1	222	4	878873388
56	450	3	892679374
94	651	5	891725332
268	790	2	876513785
276	1081	3	880913705
83	929	3	880307140
268	580	3	875309344
222	1041	3	881060155
279	89	4	875306910
13	868	5	882139901
181	328	3	878961227
234	228	3	892079190
299	1047	2	877880041
276	357	5	874787526
62	433	5	879375588
239	475	5	889178689
293	166	3	888905520
130	234	5	875216932
279	1162	3	875314334
239	430	3	889180338
303	1160	2	879544629
44	507	3	878347392
299	240	2	877878414
305	79	3	886324276
82	343	1	884713755
207	25	4	876079113
92	1209	1	875660468
303	693	4	879466771
194	160	2	879551380
92	241	3	875655961
244	662	3	880606533
85	282	3	879829618
181	1	3	878962392
279	96	4	875310606
1	253	5	874965970
276	568	4	882659211
87	177	5	879875940
291	428	5	874871766
207	1350	2	877878772
201	209	3	884112801
59	77	4	888206254
222	88	4	878183336
59	418	2	888205188
7	674	2	891352659
268	1041	1	875743735
303	411	4	879483802
234	648	3	892826760
308	215	3	887737483
234	1397	4	892334976
85	187	5	879454235
239	81	3	889179808
59	54	4	888205921
256	220	3	882151690
13	195	3	881515296
94	471	4	891721642
13	807	1	886304229
1	113	5	878542738
85	13	3	879452866
303	426	3	879542535
181	240	1	878963122
279	746	5	875310233
303	1109	4	879467936
184	191	4	889908716
13	121	5	882397503
62	288	2	879371909
94	218	3	891721851
85	604	4	882995132
184	514	5	889908497
151	929	3	879543457
90	690	4	891383319
181	1010	1	878962774
276	845	4	874786807
5	98	3	875720691
308	95	4	887737130
92	540	2	875813197
293	412	1	888905377
200	478	5	884128788
13	308	3	881514726
56	184	4	892679088
269	1165	1	891446904
184	86	5	889908694
222	148	2	881061164
72	28	4	880036824
94	211	5	891721142
13	396	3	882141727
151	58	4	879524849
184	660	3	889909962
72	427	5	880037702
